sample-id	control	sample-type	stage	vineyard	sample-code	group
ITS-HAW-I1-D14	FALSE	Inoculated	T3	Conventional	HAW-I1-D14	Con-I-T3
ITS-HAW-I1-D6	FALSE	Inoculated	T2	Conventional	HAW-I1-D6	Con-I-T2
ITS-HAW-I1-P	FALSE	Inoculated	T4	Conventional	HAW-I1-P	Con-I-T4
ITS-HAW-I2-D0	FALSE	Inoculated	T1	Conventional	HAW-I2-D0	Con-I-T1
ITS-HAW-I2-D12	FALSE	Inoculated	T3	Conventional	HAW-I2-D12	Con-I-T3
ITS-HAW-I2-D6	FALSE	Inoculated	T2	Conventional	HAW-I2-D6	Con-I-T2
ITS-HAW-I2-P	FALSE	Inoculated	T4	Conventional	HAW-I2-P	Con-I-T4
ITS-HAW-I3-D0	FALSE	Inoculated	T1	Conventional	HAW-I3-D0	Con-I-T1
ITS-HAW-I3-D10	FALSE	Inoculated	T3	Conventional	HAW-I3-D10	Con-I-T3
ITS-HAW-I3-D4	FALSE	Inoculated	T2	Conventional	HAW-I3-D4	Con-I-T2
ITS-HAW-I3-P	FALSE	Inoculated	T4	Conventional	HAW-I3-P	Con-I-T4
ITS-HAW-S1-D0	FALSE	Wild	T1	Conventional	HAW-S1-D0	Con-W-T1
ITS-HAW-S1-D20	FALSE	Wild	T3	Conventional	HAW-S1-D20	Con-W-T3
ITS-HAW-S1-D8	FALSE	Wild	T2	Conventional	HAW-S1-D8	Con-W-T2
ITS-HAW-S1-P	FALSE	Wild	T4	Conventional	HAW-S1-P	Con-W-T4
ITS-HAW-S2-D0	FALSE	Wild	T1	Conventional	HAW-S2-D0	Con-W-T1
ITS-HAW-S2-D10	FALSE	Wild	T2	Conventional	HAW-S2-D10	Con-W-T2
ITS-HAW-S2-D24	FALSE	Wild	T3	Conventional	HAW-S2-D24	Con-W-T3
ITS-HAW-S2-P	FALSE	Wild	T4	Conventional	HAW-S2-P	Con-W-T4
ITS-HAW-S3-D0	FALSE	Wild	T1	Conventional	HAW-S3-D0	Con-W-T1
ITS-HAW-S3-D18	FALSE	Wild	T3	Conventional	HAW-S3-D18	Con-W-T3
ITS-HAW-S3-D8	FALSE	Wild	T2	Conventional	HAW-S3-D8	Con-W-T2
ITS-HAW-S3-P	FALSE	Wild	T4	Conventional	HAW-S3-P	Con-W-T4
